id,question_type,closest_source,layer,span_type,category,probability_mass
0,cross_domain_mapping,qwen_thinking,6,thinking,reasoning,0.00021941
0,cross_domain_mapping,qwen_thinking,6,thinking,answer,0.00019648
0,cross_domain_mapping,qwen_thinking,6,thinking,causal,0.00016604
0,cross_domain_mapping,qwen_thinking,6,thinking,uncertainty,0.00014292
0,cross_domain_mapping,qwen_thinking,6,thinking,contrast,0.00015596
0,cross_domain_mapping,qwen_thinking,6,answer,reasoning,0.00018137
0,cross_domain_mapping,qwen_thinking,6,answer,answer,0.0001607
0,cross_domain_mapping,qwen_thinking,6,answer,causal,0.00016629
0,cross_domain_mapping,qwen_thinking,6,answer,uncertainty,0.00013653
0,cross_domain_mapping,qwen_thinking,6,answer,contrast,0.00013825
0,cross_domain_mapping,qwen_thinking,7,thinking,reasoning,4e-08
0,cross_domain_mapping,qwen_thinking,7,thinking,answer,1e-08
0,cross_domain_mapping,qwen_thinking,7,thinking,causal,9e-08
0,cross_domain_mapping,qwen_thinking,7,thinking,uncertainty,8e-08
0,cross_domain_mapping,qwen_thinking,7,thinking,contrast,1.3e-06
0,cross_domain_mapping,qwen_thinking,7,answer,reasoning,0.00018205
0,cross_domain_mapping,qwen_thinking,7,answer,answer,0.00017481
0,cross_domain_mapping,qwen_thinking,7,answer,causal,0.00017355
0,cross_domain_mapping,qwen_thinking,7,answer,uncertainty,0.00012905
0,cross_domain_mapping,qwen_thinking,7,answer,contrast,0.00013354
0,cross_domain_mapping,qwen_thinking,8,thinking,reasoning,4e-08
0,cross_domain_mapping,qwen_thinking,8,thinking,answer,1e-08
0,cross_domain_mapping,qwen_thinking,8,thinking,causal,9e-08
0,cross_domain_mapping,qwen_thinking,8,thinking,uncertainty,7e-08
0,cross_domain_mapping,qwen_thinking,8,thinking,contrast,1.52e-06
0,cross_domain_mapping,qwen_thinking,8,answer,reasoning,0.00016559
0,cross_domain_mapping,qwen_thinking,8,answer,answer,0.00017735
0,cross_domain_mapping,qwen_thinking,8,answer,causal,0.00018252
0,cross_domain_mapping,qwen_thinking,8,answer,uncertainty,0.00013505
0,cross_domain_mapping,qwen_thinking,8,answer,contrast,0.00013176
0,cross_domain_mapping,qwen_thinking,9,thinking,reasoning,4e-08
0,cross_domain_mapping,qwen_thinking,9,thinking,answer,1e-08
0,cross_domain_mapping,qwen_thinking,9,thinking,causal,9e-08
0,cross_domain_mapping,qwen_thinking,9,thinking,uncertainty,6e-08
0,cross_domain_mapping,qwen_thinking,9,thinking,contrast,1.5e-06
0,cross_domain_mapping,qwen_thinking,9,answer,reasoning,0.00015358
0,cross_domain_mapping,qwen_thinking,9,answer,answer,0.00016765
0,cross_domain_mapping,qwen_thinking,9,answer,causal,0.00017763
0,cross_domain_mapping,qwen_thinking,9,answer,uncertainty,0.00012252
0,cross_domain_mapping,qwen_thinking,9,answer,contrast,0.00012618
0,cross_domain_mapping,qwen_thinking,10,thinking,reasoning,4e-08
0,cross_domain_mapping,qwen_thinking,10,thinking,answer,1e-08
0,cross_domain_mapping,qwen_thinking,10,thinking,causal,1.1e-07
0,cross_domain_mapping,qwen_thinking,10,thinking,uncertainty,7e-08
0,cross_domain_mapping,qwen_thinking,10,thinking,contrast,1.66e-06
0,cross_domain_mapping,qwen_thinking,10,answer,reasoning,0.00013247
0,cross_domain_mapping,qwen_thinking,10,answer,answer,0.00018362
0,cross_domain_mapping,qwen_thinking,10,answer,causal,0.00018792
0,cross_domain_mapping,qwen_thinking,10,answer,uncertainty,0.00012538
0,cross_domain_mapping,qwen_thinking,10,answer,contrast,0.0001071
0,cross_domain_mapping,qwen_thinking,35,thinking,reasoning,0.0
0,cross_domain_mapping,qwen_thinking,35,thinking,answer,0.0
0,cross_domain_mapping,qwen_thinking,35,thinking,causal,0.0
0,cross_domain_mapping,qwen_thinking,35,thinking,uncertainty,0.0
0,cross_domain_mapping,qwen_thinking,35,thinking,contrast,0.0
0,cross_domain_mapping,qwen_thinking,35,answer,reasoning,0.0
0,cross_domain_mapping,qwen_thinking,35,answer,answer,0.0
0,cross_domain_mapping,qwen_thinking,35,answer,causal,0.0
0,cross_domain_mapping,qwen_thinking,35,answer,uncertainty,0.0
0,cross_domain_mapping,qwen_thinking,35,answer,contrast,0.0
0,cross_domain_mapping,qwen_thinking,36,thinking,reasoning,0.00012985
0,cross_domain_mapping,qwen_thinking,36,thinking,answer,7.406e-05
0,cross_domain_mapping,qwen_thinking,36,thinking,causal,7.9e-07
0,cross_domain_mapping,qwen_thinking,36,thinking,uncertainty,8.79e-06
0,cross_domain_mapping,qwen_thinking,36,thinking,contrast,4.739e-05
0,cross_domain_mapping,qwen_thinking,36,answer,reasoning,1.98e-06
0,cross_domain_mapping,qwen_thinking,36,answer,answer,0.00037259
0,cross_domain_mapping,qwen_thinking,36,answer,causal,4.043e-05
0,cross_domain_mapping,qwen_thinking,36,answer,uncertainty,2.45e-05
0,cross_domain_mapping,qwen_thinking,36,answer,contrast,1.76e-06
1,cross_domain_mapping,qwen_thinking,6,thinking,reasoning,0.00022126
1,cross_domain_mapping,qwen_thinking,6,thinking,answer,0.00018691
1,cross_domain_mapping,qwen_thinking,6,thinking,causal,0.00016658
1,cross_domain_mapping,qwen_thinking,6,thinking,uncertainty,0.00015122
1,cross_domain_mapping,qwen_thinking,6,thinking,contrast,0.0001667
1,cross_domain_mapping,qwen_thinking,6,answer,reasoning,0.00019575
1,cross_domain_mapping,qwen_thinking,6,answer,answer,0.00015555
1,cross_domain_mapping,qwen_thinking,6,answer,causal,0.00017848
1,cross_domain_mapping,qwen_thinking,6,answer,uncertainty,0.0001566
1,cross_domain_mapping,qwen_thinking,6,answer,contrast,0.00014225
1,cross_domain_mapping,qwen_thinking,7,thinking,reasoning,5e-08
1,cross_domain_mapping,qwen_thinking,7,thinking,answer,0.0
1,cross_domain_mapping,qwen_thinking,7,thinking,causal,1.1e-07
1,cross_domain_mapping,qwen_thinking,7,thinking,uncertainty,9e-08
1,cross_domain_mapping,qwen_thinking,7,thinking,contrast,1.36e-06
1,cross_domain_mapping,qwen_thinking,7,answer,reasoning,0.00018819
1,cross_domain_mapping,qwen_thinking,7,answer,answer,0.00015383
1,cross_domain_mapping,qwen_thinking,7,answer,causal,0.00017742
1,cross_domain_mapping,qwen_thinking,7,answer,uncertainty,0.00015462
1,cross_domain_mapping,qwen_thinking,7,answer,contrast,0.00012757
1,cross_domain_mapping,qwen_thinking,8,thinking,reasoning,4e-08
1,cross_domain_mapping,qwen_thinking,8,thinking,answer,0.0
1,cross_domain_mapping,qwen_thinking,8,thinking,causal,1.1e-07
1,cross_domain_mapping,qwen_thinking,8,thinking,uncertainty,8e-08
1,cross_domain_mapping,qwen_thinking,8,thinking,contrast,1.56e-06
1,cross_domain_mapping,qwen_thinking,8,answer,reasoning,0.00017116
1,cross_domain_mapping,qwen_thinking,8,answer,answer,0.00014993
1,cross_domain_mapping,qwen_thinking,8,answer,causal,0.00017543
1,cross_domain_mapping,qwen_thinking,8,answer,uncertainty,0.00015533
1,cross_domain_mapping,qwen_thinking,8,answer,contrast,0.00012273
1,cross_domain_mapping,qwen_thinking,9,thinking,reasoning,4e-08
1,cross_domain_mapping,qwen_thinking,9,thinking,answer,1e-08
1,cross_domain_mapping,qwen_thinking,9,thinking,causal,1.2e-07
1,cross_domain_mapping,qwen_thinking,9,thinking,uncertainty,7e-08
1,cross_domain_mapping,qwen_thinking,9,thinking,contrast,1.61e-06
1,cross_domain_mapping,qwen_thinking,9,answer,reasoning,0.00016224
1,cross_domain_mapping,qwen_thinking,9,answer,answer,0.00013676
1,cross_domain_mapping,qwen_thinking,9,answer,causal,0.00017422
1,cross_domain_mapping,qwen_thinking,9,answer,uncertainty,0.00016663
1,cross_domain_mapping,qwen_thinking,9,answer,contrast,0.00011422
1,cross_domain_mapping,qwen_thinking,10,thinking,reasoning,5e-08
1,cross_domain_mapping,qwen_thinking,10,thinking,answer,1e-08
1,cross_domain_mapping,qwen_thinking,10,thinking,causal,1.3e-07
1,cross_domain_mapping,qwen_thinking,10,thinking,uncertainty,8e-08
1,cross_domain_mapping,qwen_thinking,10,thinking,contrast,2.22e-06
1,cross_domain_mapping,qwen_thinking,10,answer,reasoning,0.00015688
1,cross_domain_mapping,qwen_thinking,10,answer,answer,0.00015146
1,cross_domain_mapping,qwen_thinking,10,answer,causal,0.00020061
1,cross_domain_mapping,qwen_thinking,10,answer,uncertainty,0.00017286
1,cross_domain_mapping,qwen_thinking,10,answer,contrast,0.00010959
1,cross_domain_mapping,qwen_thinking,35,thinking,reasoning,0.0
1,cross_domain_mapping,qwen_thinking,35,thinking,answer,0.0
1,cross_domain_mapping,qwen_thinking,35,thinking,causal,0.0
1,cross_domain_mapping,qwen_thinking,35,thinking,uncertainty,0.0
1,cross_domain_mapping,qwen_thinking,35,thinking,contrast,5e-08
1,cross_domain_mapping,qwen_thinking,35,answer,reasoning,0.0
1,cross_domain_mapping,qwen_thinking,35,answer,answer,0.0
1,cross_domain_mapping,qwen_thinking,35,answer,causal,0.0
1,cross_domain_mapping,qwen_thinking,35,answer,uncertainty,0.0
1,cross_domain_mapping,qwen_thinking,35,answer,contrast,0.0
1,cross_domain_mapping,qwen_thinking,36,thinking,reasoning,0.00021594
1,cross_domain_mapping,qwen_thinking,36,thinking,answer,8.701e-05
1,cross_domain_mapping,qwen_thinking,36,thinking,causal,2.011e-05
1,cross_domain_mapping,qwen_thinking,36,thinking,uncertainty,1.932e-05
1,cross_domain_mapping,qwen_thinking,36,thinking,contrast,0.0006282
1,cross_domain_mapping,qwen_thinking,36,answer,reasoning,3.774e-05
1,cross_domain_mapping,qwen_thinking,36,answer,answer,0.00118126
1,cross_domain_mapping,qwen_thinking,36,answer,causal,0.00060926
